Crop,State,Season,Area,Cost_of_Cultivation,Cost_of_Production,Annual_Rainfall,Temperature,Yield,Production
Rice,Madhya Pradesh,Zaid,185.33,38548.53,23839.47,680.67,24.08,2548.16,472.25
Maize,Gujarat,Rabi,107.25,67437.16,41680.76,806.01,22.45,2258.21,242.19
Soybean,Gujarat,Zaid,783.27,21737.38,17182.79,510.54,16.76,1331.71,1043.09
Cotton,Punjab,Zaid,476.79,55583.42,35667.92,1048.12,27.07,921.54,439.38
Jowar,Punjab,Rabi,502.71,15790.97,13278.54,1967.35,30.15,2002.37,1006.61
Sugarcane,Andhra Pradesh,Zaid,701.08,25685.05,18856.94,1710.7,31.37,65871.22,46180.99
Barley,Maharashtra,Kharif,156.2,45087.49,28235.32,941.52,25.34,2688.71,419.98
Soybean,Gujarat,Kharif,141.63,56993.37,36054.28,1968.14,24.54,1956.47,277.09
Jowar,Uttar Pradesh,Zaid,628.75,49829.48,36628.89,1202.89,33.64,1503.03,945.03
Soybean,Gujarat,Kharif,562.08,51927.33,45586.61,1352.59,35.62,1770.84,995.35
Sugarcane,Karnataka,Rabi,242.22,38429.86,34214.98,1418.2,29.11,66530.65,16115.05
Rice,Haryana,Rabi,180.57,21042.47,18203.95,882.98,32.1,2751.58,496.85
Groundnut,Rajasthan,Kharif,853.73,54890.79,38869.17,448.02,20.05,1142.77,975.62
Rice,Punjab,Kharif,849.0,36849.93,24824.52,1680.95,23.57,3015.59,2560.24
Rice,Karnataka,Rabi,965.85,26318.69,21646.33,1229.35,37.11,3101.99,2996.06
Wheat,Rajasthan,Kharif,599.57,26069.51,22604.12,495.34,15.1,4043.94,2424.63
Sugarcane,Madhya Pradesh,Zaid,880.95,17728.32,12004.18,1090.56,20.67,67470.87,59438.46
Barley,Rajasthan,Rabi,262.12,49333.24,41874.82,623.57,37.93,2655.25,695.99
Maize,Punjab,Kharif,431.14,32170.55,26300.5,1653.71,35.82,2429.76,1047.57
Sugarcane,Madhya Pradesh,Kharif,744.95,39527.55,23953.97,406.26,24.69,71943.39,53594.23
Sunflower,Andhra Pradesh,Rabi,634.93,25253.09,20829.02,1227.68,20.1,1554.19,986.8
Sugarcane,Uttar Pradesh,Kharif,396.08,48723.36,41009.51,809.44,39.05,59815.15,23691.58
Rice,Madhya Pradesh,Rabi,447.0,21789.74,14420.32,301.6,15.98,2518.49,1125.77
Wheat,Maharashtra,Zaid,938.75,42079.93,34095.67,1754.44,25.46,4036.43,3789.2
Maize,Haryana,Kharif,515.92,42348.96,27676.1,483.86,36.05,1844.11,951.41
Sunflower,Andhra Pradesh,Zaid,340.33,62830.73,39359.7,1620.56,36.19,1676.95,570.72
Maize,Rajasthan,Kharif,706.75,44444.13,35137.4,634.03,20.29,2209.54,1561.59
Groundnut,Madhya Pradesh,Rabi,667.09,38946.8,34504.37,1522.72,38.25,1854.73,1237.27
Soybean,Haryana,Kharif,821.73,20575.89,17233.69,1679.67,27.06,2012.32,1653.58
Barley,Maharashtra,Rabi,727.77,65743.21,54479.01,1305.92,19.8,3164.32,2302.9
Maize,Gujarat,Zaid,249.19,37433.93,25600.72,531.83,33.2,2072.82,516.53
Sugarcane,Rajasthan,Kharif,658.48,39074.43,26688.86,1248.89,23.68,70507.49,46427.77
Soybean,Maharashtra,Zaid,502.62,33033.62,27125.22,362.41,26.87,1280.79,643.75
Jowar,Tamil Nadu,Kharif,623.71,18470.85,12881.25,1443.69,23.43,1612.83,1005.94
Groundnut,Karnataka,Kharif,236.99,41592.39,30310.24,427.32,17.65,1271.88,301.42
Jowar,Gujarat,Rabi,62.42,46724.44,29705.68,361.98,16.32,1097.71,68.52
Soybean,Andhra Pradesh,Kharif,844.07,29432.46,21383.09,367.87,26.23,1410.37,1190.45
Sunflower,Madhya Pradesh,Kharif,884.87,27724.67,19997.04,1988.55,36.71,2004.78,1773.97
Jowar,Maharashtra,Kharif,600.99,53547.61,36710.19,1372.31,26.39,1683.05,1011.5
Groundnut,Punjab,Rabi,56.7,41709.89,36447.78,1337.62,28.66,1771.82,100.46
Maize,Uttar Pradesh,Rabi,515.55,20630.19,17030.87,1840.6,33.59,3105.27,1600.92
Wheat,Karnataka,Zaid,932.6,46661.59,29762.38,1288.93,34.16,3683.06,3434.82
Cotton,Karnataka,Zaid,899.3,49292.79,31517.14,826.48,20.04,773.17,695.31
Maize,Maharashtra,Kharif,373.31,26497.04,21429.18,1905.16,39.89,2959.03,1104.64
Cotton,Punjab,Zaid,847.35,26330.31,23318.88,881.17,39.65,855.85,725.2
Jowar,Gujarat,Rabi,816.75,63688.14,39869.54,1215.22,37.83,1471.77,1202.07
Groundnut,Madhya Pradesh,Zaid,134.13,66446.7,54846.9,1900.27,31.92,2084.28,279.56
Sugarcane,Karnataka,Kharif,215.55,49510.73,43425.83,1995.78,15.81,64766.89,13960.5
Groundnut,Karnataka,Kharif,387.53,30552.1,21122.11,1971.01,31.07,2269.86,879.64
Maize,Gujarat,Kharif,850.58,55747.81,42522.87,1411.1,21.85,2495.43,2122.56
Sugarcane,Gujarat,Zaid,444.85,55830.35,37322.55,399.38,22.5,56823.79,25278.06
Jowar,Punjab,Zaid,57.86,47081.9,40740.11,557.96,29.95,1125.47,65.12
Groundnut,Andhra Pradesh,Rabi,77.94,30527.26,23676.61,735.9,38.35,1541.78,120.17
Sunflower,Uttar Pradesh,Zaid,502.19,65046.16,53024.24,1289.52,34.95,1382.21,694.13
Sugarcane,Maharashtra,Zaid,697.32,19577.27,16814.68,1116.95,16.72,51227.82,35722.18
Jowar,Andhra Pradesh,Rabi,557.91,18003.57,16051.15,1171.45,22.27,1625.08,906.65
Wheat,Karnataka,Kharif,651.01,48828.55,31870.47,1172.42,32.88,3942.46,2566.58
Soybean,Rajasthan,Rabi,329.57,17886.49,13147.84,733.07,23.8,1382.12,455.51
Maize,Karnataka,Kharif,720.6,30500.38,19986.61,366.92,15.55,2026.71,1460.45
Sugarcane,Madhya Pradesh,Rabi,457.33,30964.03,23798.35,490.29,30.24,67519.81,30878.83
Rice,Maharashtra,Rabi,251.25,43031.1,37551.5,1634.82,27.19,3145.36,790.27
Cotton,Madhya Pradesh,Kharif,580.04,30540.26,20880.45,988.45,39.97,888.45,515.34
Maize,Rajasthan,Kharif,392.57,39615.35,32444.99,908.18,16.6,2358.47,925.86
Soybean,Tamil Nadu,Zaid,259.08,34095.57,28580.77,1362.87,38.44,1833.23,474.95
Sunflower,Andhra Pradesh,Rabi,161.87,67841.05,51644.82,324.13,21.44,1093.48,177.0
Rice,Karnataka,Zaid,867.24,67571.37,45341.38,1800.45,17.42,2859.09,2479.52
Sugarcane,Tamil Nadu,Kharif,853.39,42408.32,33119.78,686.34,28.59,66235.23,56524.48
Barley,Uttar Pradesh,Rabi,371.29,57468.36,37419.88,953.68,23.67,3225.57,1197.62
Barley,Madhya Pradesh,Kharif,514.11,58815.47,41252.85,1499.33,19.69,2835.89,1457.96
Soybean,Tamil Nadu,Rabi,844.88,19378.28,15736.85,1412.39,36.81,1852.77,1565.37
Wheat,Madhya Pradesh,Rabi,925.86,51299.64,36762.89,523.4,21.56,3767.13,3487.83
Sunflower,Uttar Pradesh,Zaid,550.58,43267.55,34918.51,1723.66,23.07,1730.2,952.61
Wheat,Tamil Nadu,Zaid,273.84,55506.02,34163.8,383.8,24.66,2759.73,755.72
Jowar,Karnataka,Rabi,7.29,57012.11,42999.93,1624.92,28.06,1545.86,11.27
Jowar,Punjab,Zaid,681.44,54379.16,42535.23,450.58,31.92,1080.31,736.17
Jowar,Uttar Pradesh,Rabi,395.72,52795.45,44582.49,1009.57,22.74,1286.7,509.17
Maize,Tamil Nadu,Rabi,953.33,18996.61,12532.6,891.3,30.51,2196.64,2094.12
Soybean,Madhya Pradesh,Kharif,271.51,56818.05,46404.63,312.57,27.73,1156.54,314.01
Cotton,Madhya Pradesh,Rabi,976.47,67506.65,56708.37,710.82,16.7,619.22,604.65
Barley,Madhya Pradesh,Kharif,858.39,61467.52,43513.02,1468.3,22.82,2796.94,2400.87
Maize,Punjab,Kharif,992.95,57774.46,38579.0,599.24,36.66,1964.42,1950.57
Maize,Uttar Pradesh,Rabi,983.91,65035.9,55640.63,389.38,17.61,2030.84,1998.16
Sunflower,Rajasthan,Kharif,397.09,38716.58,29842.33,303.53,21.52,1135.55,450.92
Cotton,Madhya Pradesh,Rabi,631.91,43531.13,26786.87,695.86,27.3,717.5,453.4
Wheat,Tamil Nadu,Kharif,125.05,50886.18,31336.52,1058.49,28.85,3401.09,425.31
Groundnut,Andhra Pradesh,Zaid,621.3,31599.0,27488.69,1368.29,25.97,1600.93,994.66
Rice,Madhya Pradesh,Kharif,764.89,29605.67,24928.92,728.07,35.59,2087.61,1596.79
Jowar,Haryana,Zaid,163.77,20737.22,13347.61,1791.12,28.2,1803.37,295.34
Barley,Karnataka,Zaid,435.95,22099.74,18181.23,1393.28,22.89,2743.21,1195.9
Soybean,Rajasthan,Zaid,260.42,36178.19,31941.54,1337.64,35.87,1757.94,457.8
Jowar,Uttar Pradesh,Kharif,932.38,62201.37,40504.31,1042.49,26.6,1391.36,1297.28
Rice,Tamil Nadu,Rabi,75.42,27265.54,19695.77,891.23,15.54,2880.72,217.26
Sugarcane,Haryana,Zaid,647.52,22059.25,17538.34,1970.22,37.8,62421.18,40418.96
Maize,Haryana,Rabi,64.71,47598.28,40340.05,1759.16,26.59,2770.05,179.25
Groundnut,Rajasthan,Rabi,312.0,43892.5,27205.3,1953.37,24.0,1825.97,569.7
Cotton,Rajasthan,Rabi,307.28,18140.19,12751.02,1433.79,17.56,1115.54,342.78
Cotton,Uttar Pradesh,Zaid,890.89,39697.08,29288.15,430.85,31.77,561.14,499.91
Groundnut,Gujarat,Zaid,352.25,39538.21,31689.8,867.63,21.36,1638.24,577.07
Groundnut,Karnataka,Rabi,605.95,49753.41,37718.81,1290.31,32.09,1845.15,1118.07
Sugarcane,Maharashtra,Kharif,184.66,18135.13,14079.02,1728.59,15.44,71826.13,13263.41
Groundnut,Karnataka,Kharif,541.59,30623.21,27512.89,1943.15,26.02,2195.08,1188.83
Sunflower,Andhra Pradesh,Kharif,675.39,26323.51,18577.67,514.39,18.25,1059.54,715.6
Barley,Gujarat,Kharif,619.94,19257.64,14517.38,883.61,23.21,2410.46,1494.34
Cotton,Haryana,Rabi,703.43,60895.2,37564.07,1570.79,36.27,1155.99,813.16
Sugarcane,Punjab,Kharif,314.5,67688.41,41291.76,1285.65,19.16,60013.95,18874.39
Groundnut,Rajasthan,Kharif,212.11,22933.2,18981.65,1151.05,37.79,1796.07,380.96
Rice,Uttar Pradesh,Rabi,895.13,46566.1,32839.96,1715.58,27.34,2598.29,2325.81
Rice,Rajasthan,Kharif,103.92,51110.95,44573.64,586.87,39.21,2327.08,241.83
Wheat,Karnataka,Kharif,301.94,25356.64,17524.49,458.13,18.6,3223.2,973.21
Rice,Karnataka,Zaid,130.76,50388.59,33213.89,465.94,19.17,2131.37,278.7
Sugarcane,Maharashtra,Kharif,165.35,21853.83,15511.19,689.97,20.46,68049.99,11252.07
Maize,Gujarat,Zaid,991.63,23998.89,19379.9,1446.3,39.5,2120.31,2102.56
Maize,Rajasthan,Zaid,132.24,63787.35,43535.34,680.14,36.43,2169.73,286.93
Soybean,Andhra Pradesh,Zaid,573.65,20408.97,14996.15,1898.85,38.82,2153.01,1235.07
Jowar,Gujarat,Kharif,253.21,18700.65,12723.91,1850.75,30.83,1746.87,442.32
Sunflower,Rajasthan,Kharif,680.72,31475.6,23207.69,462.45,37.45,1146.84,780.68
Maize,Uttar Pradesh,Rabi,596.25,20909.78,12651.96,1846.26,21.74,2744.04,1636.13
Rice,Maharashtra,Kharif,84.42,57351.17,45253.09,1980.43,23.61,2889.96,243.97
Jowar,Punjab,Rabi,521.97,26726.22,22303.53,646.38,21.52,1200.69,626.72
Maize,Maharashtra,Kharif,709.11,64835.55,41580.35,392.39,15.46,1904.03,1350.17
Groundnut,Gujarat,Zaid,580.98,66081.99,49496.93,1733.01,26.15,2056.92,1195.03
Barley,Haryana,Kharif,500.28,22029.65,17065.74,809.79,15.86,2981.38,1491.52
Barley,Madhya Pradesh,Kharif,345.1,36466.26,31627.42,1683.13,32.87,3249.16,1121.29
Wheat,Karnataka,Rabi,643.9,30242.94,22225.63,886.95,19.32,3419.29,2201.68
Sunflower,Haryana,Kharif,959.1,25579.05,20852.34,1429.38,23.58,1577.39,1512.87
Maize,Haryana,Rabi,750.67,56053.09,36078.86,1792.56,21.73,2887.98,2167.92
Soybean,Andhra Pradesh,Rabi,178.3,34344.61,25142.11,417.82,29.46,1405.82,250.66
Rice,Andhra Pradesh,Kharif,488.16,26234.11,20673.55,909.86,39.89,2737.8,1336.48
Jowar,Punjab,Kharif,566.07,65421.58,54970.18,1066.92,32.97,1330.43,753.12
Jowar,Punjab,Zaid,218.12,28768.71,24439.52,1087.44,27.17,1686.81,367.93
Maize,Tamil Nadu,Zaid,129.82,35670.17,22463.07,1359.02,26.17,2469.89,320.64
Sugarcane,Haryana,Kharif,926.62,54073.2,39239.68,1179.36,17.11,69950.7,64817.72
Sunflower,Tamil Nadu,Zaid,285.76,47219.46,29882.59,1941.92,19.37,1663.3,475.3
Sugarcane,Karnataka,Kharif,673.58,48797.47,42343.55,433.67,23.27,69874.65,47066.17
Sunflower,Uttar Pradesh,Rabi,732.75,52659.88,34946.38,706.3,22.03,1017.91,745.87
Jowar,Punjab,Zaid,338.84,15390.05,12374.76,1703.25,18.67,1724.97,584.49
Maize,Rajasthan,Rabi,742.15,16733.22,10650.39,1376.24,37.48,2462.21,1827.33
Rice,Karnataka,Zaid,947.18,37355.45,31062.95,1122.59,37.44,2758.16,2612.47
Sunflower,Rajasthan,Zaid,825.62,58522.09,38640.58,1668.7,36.25,1624.62,1341.32
Maize,Punjab,Rabi,537.81,46668.59,37033.63,328.85,39.01,2063.51,1109.78
Soybean,Gujarat,Rabi,701.51,15790.51,9708.85,1318.91,23.54,1822.04,1278.18
Sugarcane,Haryana,Kharif,503.47,57083.19,42560.5,553.95,31.21,68900.7,34689.44
Maize,Karnataka,Kharif,213.43,48427.81,30274.03,1393.2,34.06,2285.58,487.81
Barley,Tamil Nadu,Zaid,622.49,66393.11,43949.6,1549.54,36.66,3178.95,1978.86
Sunflower,Haryana,Rabi,261.04,31329.26,18803.45,1937.26,37.94,1794.48,468.43
Barley,Madhya Pradesh,Rabi,16.41,48890.06,43426.54,1834.88,32.42,3238.92,53.15
Rice,Karnataka,Rabi,320.4,56973.25,47895.97,954.68,25.45,2341.47,750.21
Soybean,Karnataka,Rabi,581.53,19341.14,12716.83,1106.73,24.04,1600.57,930.78
Jowar,Maharashtra,Rabi,848.28,42114.05,31230.55,1133.53,36.17,1400.32,1187.86
Rice,Tamil Nadu,Kharif,917.81,64959.1,50757.24,1197.2,28.94,2925.37,2684.93
Jowar,Rajasthan,Kharif,106.71,57813.56,37645.96,1060.5,20.26,1434.41,153.07
Sunflower,Uttar Pradesh,Kharif,672.53,33081.81,22609.22,613.54,27.44,1173.83,789.44
Sugarcane,Gujarat,Rabi,77.08,51521.82,34584.95,1131.77,22.15,66213.52,5103.74
Wheat,Rajasthan,Kharif,198.6,63091.89,44527.65,1528.56,22.98,3756.01,745.94
Jowar,Punjab,Rabi,493.28,19506.61,12850.84,1904.4,39.41,1927.81,950.95
Wheat,Haryana,Kharif,702.55,51239.6,45948.48,750.58,31.8,3311.17,2326.26
Maize,Karnataka,Zaid,383.7,61043.91,52472.63,1324.84,33.19,2583.73,991.38
Cotton,Karnataka,Zaid,880.21,25724.82,17854.14,1354.95,30.96,1033.39,909.6
Groundnut,Haryana,Rabi,637.58,59100.42,43729.13,914.83,17.71,1574.73,1004.02
Soybean,Haryana,Rabi,487.63,49380.04,43644.85,1285.61,28.51,1687.27,822.76
Cotton,Andhra Pradesh,Rabi,505.6,52398.44,34628.14,1567.57,39.89,1125.27,568.94
Sugarcane,Haryana,Zaid,372.62,29006.51,21658.73,992.59,39.66,79086.71,29469.29
Cotton,Karnataka,Rabi,302.97,40298.99,27556.52,927.96,18.99,841.69,255.01
Wheat,Haryana,Zaid,593.7,26556.48,16860.7,1949.2,15.55,4326.7,2568.76
Rice,Tamil Nadu,Zaid,90.28,29125.65,18283.77,471.6,19.98,2167.34,195.67
Wheat,Gujarat,Zaid,72.99,53680.4,38690.57,1864.07,31.26,4039.17,294.82
Maize,Maharashtra,Kharif,926.7,41603.0,28900.19,1641.21,32.04,2804.29,2598.74
Sugarcane,Maharashtra,Kharif,105.28,29736.85,22482.79,1261.76,15.38,69961.45,7365.54
Cotton,Haryana,Zaid,707.37,25471.0,18084.83,479.87,30.71,615.67,435.51
Soybean,Tamil Nadu,Kharif,554.32,24597.42,17552.99,1733.35,31.11,2063.26,1143.71
Sunflower,Uttar Pradesh,Zaid,894.03,65588.59,41219.46,1225.01,33.51,1434.19,1282.21
Jowar,Gujarat,Rabi,86.59,40509.54,26420.05,873.71,15.45,1440.18,124.71
Sugarcane,Uttar Pradesh,Zaid,619.77,51491.97,43813.87,666.29,18.01,64035.01,39686.98
Barley,Haryana,Zaid,903.08,17796.94,15288.76,879.61,37.49,2849.39,2573.23
Wheat,Gujarat,Zaid,66.09,45217.65,35145.87,1409.64,21.39,4031.76,266.46
Sunflower,Uttar Pradesh,Zaid,62.91,36117.09,26485.83,540.75,17.56,1061.83,66.8
Sunflower,Gujarat,Rabi,452.49,22853.21,16381.88,1917.89,22.99,1754.23,793.77
Sunflower,Haryana,Rabi,18.2,53675.99,32555.03,1373.02,19.09,1457.94,26.53
Sunflower,Tamil Nadu,Kharif,376.5,35203.73,26676.82,1674.96,24.04,1850.94,696.88
Barley,Punjab,Kharif,723.67,46745.27,37130.52,349.81,30.45,2551.07,1846.13
Barley,Punjab,Kharif,426.58,39328.45,31486.41,836.21,32.06,2654.26,1132.25
Barley,Tamil Nadu,Zaid,421.8,20191.86,12876.59,1004.54,34.06,2982.44,1257.99
Sunflower,Uttar Pradesh,Kharif,672.18,49948.54,42043.14,1702.92,36.71,1802.97,1211.92
Jowar,Andhra Pradesh,Zaid,38.01,46307.66,40576.22,1946.31,28.51,1761.18,66.94
Barley,Haryana,Kharif,311.54,26498.2,22643.9,1840.23,28.54,2939.91,915.9
Sunflower,Punjab,Rabi,664.18,33610.23,29599.08,1850.75,20.23,1823.48,1211.12
Soybean,Karnataka,Kharif,827.7,68232.55,59154.27,1320.91,28.25,1864.35,1543.12
Maize,Andhra Pradesh,Kharif,833.28,38473.47,30571.81,1536.36,30.84,2553.89,2128.11
Rice,Rajasthan,Rabi,498.44,33124.17,24252.89,1756.82,32.11,2963.4,1477.08
Sugarcane,Punjab,Zaid,522.95,16297.56,11801.39,808.72,33.7,67230.03,35157.94
Soybean,Punjab,Zaid,199.56,38363.68,27455.57,1856.21,34.05,1985.09,396.14
Sugarcane,Uttar Pradesh,Rabi,262.64,38983.88,25225.33,1910.86,34.17,65898.33,17307.54
Jowar,Maharashtra,Rabi,734.89,28867.92,21571.35,428.41,30.45,1000.69,735.4
Jowar,Tamil Nadu,Rabi,713.8,28882.09,23020.31,636.95,18.6,1355.31,967.42
Wheat,Tamil Nadu,Kharif,64.07,45342.84,38647.01,1994.64,25.76,4200.99,269.16
Soybean,Tamil Nadu,Kharif,721.36,27671.73,22291.25,1969.23,32.28,1998.8,1441.85
Rice,Rajasthan,Zaid,811.56,18044.79,13739.96,419.94,38.35,2529.23,2052.62
Jowar,Tamil Nadu,Rabi,968.96,54267.69,47614.34,1179.12,17.93,1544.15,1496.22
Groundnut,Karnataka,Zaid,630.06,34788.42,25108.32,1949.75,17.81,2098.39,1322.11
Soybean,Punjab,Kharif,603.99,31440.94,22739.5,670.09,39.15,1179.28,712.27
Cotton,Maharashtra,Zaid,26.33,27197.87,22686.87,642.0,17.0,704.29,18.54
Maize,Maharashtra,Kharif,279.71,34187.87,29981.07,651.29,36.85,2254.42,630.58
Wheat,Andhra Pradesh,Zaid,508.72,27809.6,23738.25,1536.18,39.52,3674.62,1869.35
Wheat,Andhra Pradesh,Kharif,907.8,55137.38,45247.89,436.03,23.99,3034.73,2754.93
Cotton,Haryana,Kharif,901.68,65940.61,39744.35,428.2,21.26,565.82,510.19
Soybean,Haryana,Zaid,623.6,68380.51,52494.76,871.87,27.98,1434.99,894.86
Barley,Gujarat,Kharif,559.36,42653.09,27440.05,1051.51,23.35,3452.73,1931.32
Sugarcane,Uttar Pradesh,Rabi,26.38,30686.65,23511.83,302.72,22.08,69316.43,1828.57
Jowar,Karnataka,Kharif,323.86,25109.71,19411.84,563.23,23.9,1233.62,399.52
Cotton,Andhra Pradesh,Kharif,747.64,45237.05,33281.17,588.02,30.92,734.6,549.22
Sunflower,Maharashtra,Kharif,370.81,46290.68,40018.88,1901.24,33.49,1780.94,660.39
Rice,Punjab,Kharif,191.47,58478.25,43050.97,812.83,24.6,2352.67,450.47
Rice,Uttar Pradesh,Zaid,117.94,28859.9,25287.82,1288.7,28.34,2410.61,284.31
Barley,Gujarat,Rabi,117.19,22098.58,16818.3,1892.17,22.71,3597.03,421.54
Soybean,Rajasthan,Kharif,248.19,16998.74,10718.63,1538.44,19.99,1838.6,456.32
Maize,Madhya Pradesh,Rabi,406.66,41679.01,31769.75,1691.21,19.29,2296.36,933.84
Groundnut,Rajasthan,Rabi,699.68,37660.98,24160.24,1431.8,28.12,1672.84,1170.45
Soybean,Gujarat,Rabi,450.08,56599.58,47444.05,1140.81,37.37,1689.49,760.41
Sugarcane,Rajasthan,Rabi,685.87,62243.93,39004.04,1770.49,23.02,62205.35,42664.78
Wheat,Rajasthan,Zaid,320.91,22423.82,15446.72,1272.88,26.05,3482.32,1117.51
Wheat,Karnataka,Kharif,893.56,56623.41,39613.75,1565.55,18.8,3657.06,3267.8
Sugarcane,Karnataka,Zaid,63.72,22244.02,19076.99,1377.43,21.33,59997.18,3823.02
Jowar,Haryana,Rabi,655.61,27825.32,23910.88,825.93,32.35,1365.25,895.07
Sugarcane,Rajasthan,Zaid,803.14,37839.38,25922.41,782.59,27.06,51798.0,41601.05
Jowar,Uttar Pradesh,Kharif,355.85,59487.22,40951.62,1271.06,33.63,1324.42,471.29
Wheat,Punjab,Kharif,929.96,44979.59,35913.5,1835.57,17.46,3643.18,3388.01
Barley,Tamil Nadu,Rabi,823.83,62136.6,45019.96,451.88,25.94,2319.51,1910.88
Rice,Uttar Pradesh,Kharif,888.91,56015.36,34200.02,1277.62,34.66,2511.46,2232.46
Sunflower,Punjab,Rabi,807.36,40279.8,26869.88,1886.87,23.61,1782.97,1439.5
Barley,Haryana,Kharif,238.51,66614.62,43387.82,492.51,29.25,2225.41,530.78
Barley,Andhra Pradesh,Kharif,737.5,63521.32,46381.13,1570.92,39.99,2919.05,2152.8
Barley,Andhra Pradesh,Zaid,174.62,67959.04,44355.09,601.85,37.88,2646.26,462.09
Barley,Punjab,Kharif,160.17,24023.5,16469.45,1647.83,37.64,3092.54,495.33
Cotton,Maharashtra,Rabi,50.34,48187.23,40575.26,566.76,15.38,671.69,33.81
Wheat,Rajasthan,Rabi,138.71,38436.73,29430.87,1318.1,21.86,4105.01,569.41
Wheat,Punjab,Rabi,410.59,33312.61,21236.35,481.14,32.21,3122.08,1281.89
Rice,Andhra Pradesh,Kharif,98.5,43974.94,27138.24,487.92,20.48,1822.7,179.54
Rice,Gujarat,Rabi,824.36,46066.28,30122.61,469.6,16.36,2057.83,1696.39
Sugarcane,Gujarat,Rabi,131.32,27956.13,24594.44,1761.16,32.74,82542.64,10839.5
Jowar,Tamil Nadu,Rabi,234.49,18295.88,13818.51,511.54,39.05,955.48,224.05
Sunflower,Haryana,Kharif,387.93,32775.68,28860.55,917.65,24.76,1321.2,512.53
Sugarcane,Maharashtra,Kharif,591.56,54555.98,44930.8,1174.57,23.27,60816.29,35976.48
Jowar,Andhra Pradesh,Kharif,599.21,18945.44,12656.08,1883.53,37.71,1957.62,1173.03
Barley,Madhya Pradesh,Zaid,634.07,18954.87,16541.95,1928.2,16.94,2971.84,1884.35
Barley,Maharashtra,Zaid,715.28,32322.36,22364.48,558.89,21.6,3003.14,2148.09
Groundnut,Haryana,Zaid,434.96,25606.18,16831.75,1606.9,21.64,1891.78,822.85
Barley,Punjab,Kharif,75.59,44461.3,38073.84,308.3,38.42,2974.27,224.83
Barley,Uttar Pradesh,Kharif,930.04,36096.21,26982.69,1823.6,35.17,3184.84,2962.03
Jowar,Rajasthan,Rabi,422.06,27634.4,18235.15,364.23,31.08,1142.2,482.08
Maize,Gujarat,Rabi,903.38,18832.99,11628.72,1875.91,31.21,2777.69,2509.31
Sugarcane,Madhya Pradesh,Zaid,531.44,20438.03,17242.62,1772.24,19.3,78937.74,41950.67
Sugarcane,Gujarat,Kharif,722.12,62403.13,49686.82,1169.7,18.97,69603.65,50262.19
Sunflower,Uttar Pradesh,Kharif,475.43,32449.25,26929.35,1146.51,22.75,1434.77,682.13
Sugarcane,Punjab,Kharif,882.29,23085.82,18774.97,1954.72,34.76,67552.4,59600.81
Rice,Madhya Pradesh,Zaid,468.41,63814.8,50565.55,1003.2,22.32,2610.94,1222.99
Groundnut,Punjab,Rabi,953.73,50316.06,34690.16,514.99,36.06,1075.18,1025.43
Rice,Andhra Pradesh,Zaid,199.33,48092.76,29731.18,1002.68,28.67,2953.03,588.63
Barley,Maharashtra,Rabi,132.9,51975.55,39117.19,1525.91,23.82,2961.4,393.57
Barley,Haryana,Kharif,303.56,38619.63,28625.32,567.53,15.78,2552.02,774.69
Sugarcane,Haryana,Zaid,667.2,65136.73,45835.81,1356.56,15.97,64626.58,43118.85
Rice,Karnataka,Zaid,690.18,36295.08,25545.66,1721.01,17.53,2735.93,1888.28
Barley,Rajasthan,Kharif,280.03,25533.67,19182.91,1771.6,21.03,3427.16,959.71
Maize,Maharashtra,Kharif,550.92,59923.64,53204.86,1647.53,30.1,2588.39,1426.0
Sugarcane,Punjab,Zaid,666.88,30635.86,23765.26,1297.51,26.14,65533.13,43702.73
Wheat,Karnataka,Zaid,663.79,58118.45,41754.75,1398.28,18.77,3629.39,2409.15
Sugarcane,Punjab,Rabi,205.58,41789.54,36084.25,1196.33,38.25,69665.99,14321.93
Soybean,Gujarat,Rabi,463.82,63831.09,47013.98,1245.05,25.1,1558.54,722.88
Sunflower,Andhra Pradesh,Zaid,34.78,42366.13,27387.7,610.97,24.13,1118.31,38.89
Soybean,Maharashtra,Rabi,74.89,42703.05,27961.43,1275.76,30.94,1833.26,137.29
Soybean,Maharashtra,Zaid,460.33,31372.33,19133.49,1303.22,28.1,1731.89,797.24
Groundnut,Rajasthan,Kharif,994.6,41509.24,34319.89,1068.93,16.08,1518.92,1510.72
Wheat,Tamil Nadu,Zaid,889.8,15504.11,10239.22,1930.34,30.34,3671.8,3267.17
Sugarcane,Andhra Pradesh,Rabi,664.27,44042.61,39234.59,1530.78,20.3,67722.07,44985.74
Cotton,Maharashtra,Kharif,908.13,59240.59,36714.29,1477.37,29.3,1040.53,944.94
Sunflower,Tamil Nadu,Zaid,410.32,41509.72,25783.27,772.84,23.11,1195.76,490.64
Jowar,Madhya Pradesh,Rabi,527.38,57017.98,34297.66,1860.19,19.94,1782.57,940.09
Soybean,Gujarat,Kharif,774.36,51091.16,37884.04,1271.77,16.16,1793.66,1388.94
Groundnut,Karnataka,Kharif,306.54,51059.62,34300.71,776.9,35.51,1657.87,508.2
Maize,Tamil Nadu,Kharif,581.18,55143.9,39884.47,1369.67,32.48,2539.32,1475.8
Sunflower,Tamil Nadu,Rabi,262.78,28297.05,21078.59,1807.61,24.46,1754.68,461.09
Jowar,Uttar Pradesh,Rabi,961.91,50893.11,37499.56,976.21,23.12,1321.56,1271.22
